,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,100,CL,1573942051,62,-53.16,-70.91,57.0,16.11
1,Rikitea,95,PF,1573942121,84,-23.12,-134.97,74.28,15.75
2,Nizwa,100,OM,1573941674,57,22.93,57.53,61.45,4.14
3,Albany,20,US,1573941517,30,42.65,-73.75,30.0,6.93
4,Balkanabat,0,TM,1573942122,51,39.51,54.36,38.08,5.82
5,Atuona,1,PF,1573941626,73,-9.8,-139.03,79.72,15.26
6,Yaan,100,NG,1573942122,57,7.38,8.57,81.14,3.38
7,Hilo,90,US,1573941630,69,19.71,-155.08,82.4,10.29
8,Brae,85,GB,1573941635,75,60.4,-1.35,33.8,1.12
9,Ushuaia,40,AR,1573941517,54,-54.81,-68.31,55.4,12.75
10,Sitia,100,GR,1573942123,78,35.21,26.11,63.0,5.99
11,Dikson,0,RU,1573941618,88,73.51,80.55,-12.1,8.23
12,Hobart,75,AU,1573941604,43,-42.88,147.33,51.01,3.36
13,Moose Factory,75,CA,1573942123,57,51.26,-80.61,19.4,10.29
14,Spearfish,75,US,1573941870,79,44.49,-103.86,50.0,17.22
15,Kodiak,1,US,1573941651,32,39.95,-94.76,59.0,16.11
16,Hermanus,52,ZA,1573942123,93,-34.42,19.24,59.0,15.17
17,Coihueco,20,CL,1573942124,41,-36.63,-71.83,75.2,10.29
18,Grindavik,40,IS,1573941696,62,63.84,-22.43,32.0,12.75
19,Bethel,75,US,1573941643,71,60.79,-161.76,10.4,20.8
20,College,90,US,1573941679,84,64.86,-147.8,9.0,5.82
21,Longyearbyen,75,NO,1573941715,98,78.22,15.63,32.0,9.17
22,Thompson,90,CA,1573941337,78,55.74,-97.86,17.6,5.82
23,Chateauroux,90,FR,1573941683,93,43.72,0.65,45.0,5.82
24,Te Anau,65,NZ,1573942124,73,-45.41,167.72,47.26,14.0
25,Uribia,22,CO,1573942124,67,11.71,-72.27,84.0,10.13
26,Port Alfred,13,ZA,1573942125,94,-33.59,26.89,66.0,1.01
27,El Tigre,99,VE,1573942125,52,8.89,-64.25,86.34,1.72
28,Yellowknife,90,CA,1573941609,77,62.45,-114.38,5.0,3.36
29,Bredasdorp,78,ZA,1573941634,72,-34.53,20.04,60.8,2.24
30,Batagay,100,RU,1573942125,98,67.65,134.64,-19.97,0.36
31,Abha,33,SA,1573942125,66,18.22,42.5,57.2,0.74
32,Talaya,75,RU,1573941660,77,55.79,84.89,3.99,20.13
33,Berlevag,25,NO,1573941639,73,70.86,29.09,33.71,11.18
34,East London,31,ZA,1573942126,78,-33.02,27.91,66.47,4.76
35,Kirakira,94,SB,1573941646,84,-10.46,161.92,79.25,5.86
36,Saint George,40,GR,1573942126,100,39.45,22.34,53.6,1.59
37,Taldan,0,RU,1573942126,87,53.69,124.82,-7.17,5.06
38,Butaritari,100,KI,1573941640,85,3.07,172.79,80.13,18.39
39,Vigrestad,75,NO,1573942126,93,58.57,5.7,43.0,1.12
40,Nouakchott,81,MR,1573941841,28,18.08,-15.98,80.6,12.75
41,Bluff,0,AU,1573941627,60,-23.58,149.07,76.33,10.29
42,Yar-Sale,100,RU,1573942127,95,66.83,70.83,0.36,17.4
43,Bayir,40,TR,1573942127,93,37.27,28.22,53.6,3.36
44,Klaksvik,100,FO,1573941672,80,62.23,-6.59,39.2,16.11
45,Busselton,0,AU,1573942127,62,-33.64,115.35,60.01,4.03
46,Aras,20,ES,1573941661,80,42.56,-2.36,41.0,10.29
47,Pringsewu,74,ID,1573942127,98,-5.36,104.98,69.85,2.26
48,Mataura,33,NZ,1573941626,58,-46.19,168.86,57.0,15.01
49,Kapaa,90,US,1573941622,94,22.08,-159.32,86.0,11.41
50,Sorland,100,NO,1573941628,68,67.67,12.69,41.43,10.33
51,Kununurra,77,AU,1573941630,88,-15.77,128.74,73.4,1.12
52,Poya,1,NC,1573942128,74,-21.35,165.16,74.46,4.36
53,Codrington,90,AU,1573941696,68,-28.95,153.24,73.0,2.44
54,Cape Town,40,ZA,1573942101,67,-33.93,18.42,62.01,18.34
55,Chokurdakh,100,RU,1573941644,97,70.62,147.9,-1.57,4.72
56,Pevek,76,RU,1573941629,80,69.7,170.27,3.69,2.04
57,Labe,100,NG,1573942128,57,7.7,8.47,81.14,3.38
58,Tasiilaq,89,GL,1573942128,68,65.61,-37.64,26.6,6.93
59,Raudeberg,0,NO,1573942129,74,61.99,5.14,35.6,6.93
60,Yarada,0,IN,1573942129,94,17.65,83.27,73.4,2.24
61,Imeni Poliny Osipenko,100,RU,1573942129,87,52.42,136.49,10.36,4.12
62,Qaanaaq,100,GL,1573941619,90,77.48,-69.36,9.01,4.94
63,Haines Junction,100,CA,1573942129,97,60.75,-137.51,27.61,3.18
64,Barrow,0,AR,1573941641,43,-38.31,-60.23,73.29,11.12
65,Bilibino,97,RU,1573942129,47,68.06,166.44,-0.27,1.72
66,Lorengau,100,PG,1573941633,76,-2.02,147.27,83.46,9.17
67,Hithadhoo,100,MV,1573941635,75,-0.6,73.08,81.48,11.1
68,Salamiyah,0,SY,1573942130,29,35.01,37.05,59.22,7.92
69,Suzun,100,RU,1573942130,86,53.78,82.32,5.14,11.45
70,Nikolskoye,90,RU,1573941652,93,59.7,30.79,37.4,8.95
71,Chaykovskiy,100,RU,1573942130,95,56.77,54.11,28.99,9.62
72,Ardakan,20,IR,1573942130,56,32.31,54.02,41.0,6.93
73,Khatanga,56,RU,1573941658,90,71.98,102.47,-12.12,2.55
74,Pisco,23,PE,1573941650,30,-13.71,-76.2,71.6,12.75
75,Saskylakh,100,RU,1573941651,97,71.97,114.09,-8.12,4.61
76,Bubaque,100,GW,1573942131,75,11.28,-15.83,83.19,11.5
77,Maldonado,100,UY,1573942131,60,-34.91,-54.96,75.2,10.29
78,Weligama,16,LK,1573942131,89,5.97,80.42,75.07,2.98
79,Georgetown,40,GY,1573941572,70,6.8,-58.16,86.0,11.41
80,Harper,1,US,1573941648,31,30.3,-99.24,62.6,8.05
81,Castro,90,CL,1573941620,87,-42.48,-73.76,53.6,16.11
82,Dijkot,67,PK,1573942132,66,31.22,73.0,66.27,5.82
83,Jamestown,45,AU,1573942132,80,-33.21,138.6,46.0,7.47
84,Ostrogozhsk,9,RU,1573942132,90,50.86,39.08,33.69,7.05
85,Chuy,94,UY,1573941649,76,-33.69,-53.46,73.76,5.97
86,Waycross,90,US,1573941841,81,31.21,-82.35,50.0,8.05
87,Byron Bay,90,AU,1573942025,68,-28.65,153.62,75.99,2.06
88,Belogorsk,0,RU,1573942133,92,50.92,128.47,-0.63,5.01
89,Constitucion,75,MX,1573941646,37,23.99,-104.67,69.8,4.7
90,Comodoro Rivadavia,40,AR,1573942133,19,-45.87,-67.48,75.2,26.4
91,New Norfolk,75,AU,1573942133,43,-42.78,147.06,51.01,3.36
92,Gorontalo,83,ID,1573942042,78,0.54,123.06,71.53,2.51
93,Tuatapere,2,NZ,1573941712,58,-46.13,167.69,57.0,15.01
94,Torbay,40,CA,1573941640,63,47.66,-52.73,30.0,27.51
95,Vyazovaya,49,RU,1573942133,89,54.9,58.36,28.42,8.37
96,Puerto Penasco,0,MX,1573942134,74,31.32,-113.53,73.0,5.01
97,San Pedro,100,AR,1573942134,60,-33.68,-59.66,78.01,4.0
98,Qazvin,99,IR,1573942134,88,36.28,50.01,25.48,8.5
99,Soyo,100,AO,1573942134,84,-6.13,12.37,78.85,2.91
100,Vaini,19,IN,1573941622,88,15.34,74.49,68.09,5.64
101,Bernissart,100,BE,1573942134,81,50.48,3.65,42.8,5.82
102,Munkebo,100,SE,1573942134,100,58.32,15.65,48.2,5.82
103,Puerto Ayora,40,EC,1573942135,61,-0.74,-90.35,78.8,4.7
104,Huron,20,US,1573942135,61,44.36,-98.21,48.2,8.05
105,Ahipara,73,NZ,1573941717,89,-35.17,173.16,73.99,11.95
106,Andros Town,56,BS,1573942135,80,24.73,-77.79,73.0,15.95
107,Simi,100,SL,1573942135,91,9.57,-12.35,73.8,5.64
108,Cidreira,0,BR,1573941620,63,-30.17,-50.22,69.37,9.24
109,Port Elizabeth,1,US,1573942135,41,39.31,-74.98,44.01,13.87
110,Mahebourg,75,MU,1573941622,83,-20.41,57.7,75.99,12.75
111,Chapais,1,CA,1573941667,60,49.78,-74.86,8.6,4.7
112,Belaya Gora,100,RU,1573942136,98,68.54,146.19,-3.05,5.86
113,Tahe,0,CN,1573941695,87,52.34,124.71,-3.37,4.27
114,Fort Frances,20,CA,1573942136,52,48.61,-93.4,42.8,8.05
115,Rondonopolis,65,BR,1573942136,52,-16.46,-54.64,88.27,6.24
116,Vila Franca do Campo,75,PT,1573942136,63,37.72,-25.43,60.8,3.36
117,Baiyin,67,CN,1573942136,46,36.55,104.13,30.2,13.42
118,Narsaq,100,GL,1573941650,20,60.91,-46.05,33.8,13.87
119,Homer,90,US,1573942137,93,59.64,-151.54,37.4,3.36
120,Semporna,75,MY,1573942137,94,4.48,118.61,75.2,1.52
121,Sioux Lookout,90,CA,1573942059,60,50.1,-91.92,39.2,9.17
122,Atar,67,MR,1573942137,34,20.52,-13.05,71.15,11.61
123,Buraydah,19,SA,1573942137,82,26.33,43.97,64.4,6.93
124,Mount Gambier,40,AU,1573942137,93,-37.83,140.78,50.0,2.24
125,Gbarnga,40,LR,1573942137,95,7.0,-9.47,72.66,1.88
126,Grand Gaube,75,MU,1573942138,83,-20.01,57.66,75.99,12.75
127,Iberia,96,PE,1573942138,92,-11.41,-69.49,77.05,3.15
128,Petropavlovsk-Kamchatskiy,40,RU,1573942138,78,53.05,158.65,14.0,8.95
129,Deputatskiy,89,RU,1573942138,97,69.3,139.9,-2.22,2.82
130,Mikun,100,RU,1573942138,95,62.35,50.08,24.49,5.32
131,Avarua,0,CK,1573941656,69,-21.21,-159.78,80.6,12.75
132,Maceio,1,BR,1573941624,78,-9.67,-35.74,78.8,13.87
133,Arraial do Cabo,0,BR,1573942139,88,-22.97,-42.02,71.6,11.41
134,Saint-Philippe,0,CA,1573942139,48,45.36,-73.48,21.99,3.36
135,San Patricio,0,PY,1573942127,51,-26.98,-56.83,79.21,6.2
136,Victor Harbor,40,AU,1573942139,54,-35.55,138.62,59.0,4.7
137,Flinders,90,AU,1573942139,88,-34.58,150.85,66.99,10.29
138,Coihaique,90,CL,1573941689,76,-45.58,-72.07,50.0,5.82
139,Redwater,20,CA,1573942139,91,53.95,-113.11,42.01,8.05
140,Carnarvon,0,ZA,1573941625,47,-30.97,22.13,67.28,17.22
141,Ibra,100,OM,1573941674,38,22.69,58.55,69.15,6.64
142,Zhangjiakou,100,CN,1573941674,95,40.77,114.88,29.08,5.01
143,Sao Filipe,92,CV,1573942121,80,14.9,-24.5,72.84,16.46
144,Pundaguitan,0,PH,1573942140,70,6.37,126.17,82.04,10.47
145,Airai,32,TL,1573941623,23,-8.93,125.41,69.35,4.63
146,Provideniya,100,RU,1573941638,92,64.42,-173.23,18.7,12.97
147,Eureka,90,US,1573942140,93,40.8,-124.16,64.99,5.82
148,Ambon,82,FR,1573942141,93,47.55,-2.56,45.0,4.7
149,Pimentel,9,BR,1573941722,71,-3.7,-45.5,82.13,4.09
150,Saldanha,84,PT,1573941653,86,41.42,-6.55,39.18,5.84
151,Nanortalik,100,GL,1573941692,79,60.14,-45.24,31.91,28.23
152,Daru,42,PG,1573942141,91,-9.07,143.21,77.7,4.99
153,Lebu,40,ET,1573941634,54,8.96,38.73,59.0,4.7
154,Sao Joao da Barra,97,BR,1573942141,73,-21.64,-41.05,75.2,9.17
155,Sri Aman,100,MY,1573942141,100,1.24,111.46,75.2,0.76
156,Sheridan,75,US,1573942142,21,39.65,-105.03,68.0,12.75
157,Puerto del Rosario,40,ES,1573942142,72,28.5,-13.86,64.4,16.11
158,Upernavik,100,GL,1573941665,62,72.79,-56.15,19.51,10.71
159,Tessalit,56,ML,1573942142,13,20.2,1.01,74.52,7.56
160,Ca Mau,67,VN,1573942142,96,9.18,105.15,73.76,3.27
161,Cam Ranh,20,VN,1573942142,88,11.92,109.15,77.0,1.12
162,Yanam,0,IN,1573942143,86,16.73,82.22,74.39,3.2
163,Clyde River,90,CA,1573942143,77,70.47,-68.59,5.0,9.17
164,Lensk,100,RU,1573942143,92,60.71,114.91,-16.02,10.0
165,Honningsvag,0,NO,1573941938,78,70.98,25.97,32.09,14.45
166,Progreso,40,UY,1573942143,69,-34.68,-56.22,77.0,12.75
167,Cabo San Lucas,90,MX,1573942143,61,22.89,-109.91,82.4,9.17
168,Isangel,75,VU,1573941719,58,-19.55,169.27,82.4,13.87
169,Severo-Kurilsk,55,RU,1573941645,80,50.68,156.12,19.27,4.72
170,Kloulklubed,75,PW,1573941725,94,7.04,134.26,77.0,3.36
171,Ponta do Sol,45,BR,1573942144,75,-20.63,-46.0,73.33,7.47
172,Geraldton,90,CA,1573941671,85,49.72,-86.95,32.0,16.11
173,Qingdao,40,CN,1573942144,93,36.09,120.35,57.2,11.18
174,Ilulissat,75,GL,1573941626,53,69.22,-51.1,21.2,26.4
175,Savannah Bight,58,HN,1573942144,80,16.45,-85.85,80.53,20.27
176,Luganville,75,VU,1573942145,74,-15.51,167.18,82.4,12.75
177,Kavieng,100,PG,1573942145,69,-2.57,150.8,84.33,5.01
178,Bambous Virieux,75,MU,1573942145,83,-20.34,57.76,75.99,12.75
179,Shibetsu,100,JP,1573942145,94,44.15,142.46,18.3,9.48
180,Adrar,0,DZ,1573941643,33,27.87,-0.29,57.2,19.46
181,Kefamenanu,0,ID,1573942145,62,-9.45,124.48,68.41,2.93
182,Iwanai,100,JP,1573942145,94,42.97,140.51,24.82,20.4
183,Muros,75,ES,1573941718,100,42.77,-9.06,55.99,5.82
184,Broken Hill,30,AU,1573942146,54,-31.97,141.45,53.6,17.22
185,Chicama,75,PE,1573941661,82,-7.84,-79.15,66.2,9.17
186,Leningradskiy,57,RU,1573941655,78,69.38,178.42,15.01,4.34
187,Naze,75,NG,1573942146,94,5.43,7.07,75.2,3.29
188,Zhongshu,0,CN,1573942146,95,24.52,103.77,51.57,1.95
189,Saryg-Sep,13,RU,1573942146,90,51.49,95.55,-22.13,3.24
190,Urucara,72,BR,1573942146,64,-2.54,-57.76,87.19,3.09
191,Winnemucca,1,US,1573942035,41,40.97,-117.74,59.0,4.68
192,Tecoanapa,75,MX,1573942147,70,16.99,-99.26,86.0,8.05
193,Belyy Yar,100,RU,1573942147,70,53.6,91.39,1.4,4.47
194,Alofi,46,NU,1573941478,65,-19.06,-169.92,80.6,8.05
195,Mar del Plata,100,AR,1573942147,21,-46.43,-67.52,70.97,30.06
196,Oranjestad,20,AW,1573942148,70,12.52,-70.03,84.2,10.29
197,Port Lincoln,80,AU,1573942148,67,-34.72,135.86,54.91,9.33
198,Salalah,40,OM,1573941630,57,17.01,54.1,78.8,6.93
199,Culebra,33,PA,1573942148,78,9.3,-82.53,84.99,1.01
200,Misratah,79,LY,1573942033,46,32.38,15.09,72.14,22.24
201,Hualmay,56,PE,1573942148,63,-11.1,-77.61,70.97,8.93
202,Carlagan,100,PH,1573942148,87,14.97,122.05,77.86,4.36
203,Hamilton,40,CA,1573941413,73,43.26,-79.87,30.99,21.92
204,Tarana,52,AU,1573942149,87,-33.53,149.91,61.0,7.0
205,Marsh Harbour,94,BS,1573942149,80,26.54,-77.06,71.1,22.06
206,Doha,20,QA,1573942083,65,25.29,51.53,77.0,10.29
207,Fairhope,1,US,1573942149,38,30.52,-87.9,64.0,4.7
208,Kungurtug,69,RU,1573942149,89,50.6,97.53,-23.93,2.15
209,Rangapara,78,IN,1573942150,93,26.82,92.69,63.43,2.62
210,Vostok,96,RU,1573941642,96,46.45,135.83,-1.86,4.34
211,Osmena,100,PH,1573942150,82,12.17,124.59,81.79,15.32
212,Kysyl-Syr,69,RU,1573942150,97,63.9,122.77,-14.46,6.38
213,Panaba,97,MX,1573942150,64,21.28,-88.27,75.0,5.99
214,Husavik,82,CA,1573941660,80,50.56,-96.99,39.99,5.01
215,Christchurch,0,NZ,1573942055,55,-43.53,172.64,64.4,11.41
216,Vitim,98,RU,1573942151,97,59.44,112.57,-22.99,4.12
217,Lebyazhye,90,RU,1573942151,93,59.96,29.42,37.4,8.95
218,Caravelas,100,BR,1573942151,81,-17.73,-39.27,77.13,8.48
219,Treinta y Tres,100,UY,1573941989,77,-33.23,-54.39,73.89,5.32
220,Santa Maria,75,BR,1573942137,54,-16.02,-48.01,80.6,4.7
221,Norman Wells,90,CA,1573942151,76,65.28,-126.83,-5.8,5.82
222,Kirensk,0,RU,1573942152,95,57.78,108.12,-18.09,2.04
223,Tabuk,100,PH,1573942152,91,17.41,121.44,72.84,5.26
224,Zyryanka,100,RU,1573941678,95,65.73,150.89,-2.13,13.47
225,Talnakh,0,RU,1573941648,77,69.49,88.39,-2.2,6.71
226,Sucua,90,EC,1573942152,78,-2.46,-78.17,71.6,8.05
227,Vestmannaeyjar,98,IS,1573941688,62,63.44,-20.27,40.98,15.64
228,Tiznit,0,MA,1573942153,46,29.7,-9.73,51.64,5.66
229,Bongandanga,100,CD,1573942153,97,1.51,21.07,72.63,2.04
230,Coquimbo,20,CL,1573942153,72,-29.95,-71.34,64.4,13.87
231,Shihezi,39,CN,1573942153,53,44.3,86.03,21.94,9.84
232,Matay,0,EG,1573942153,77,28.42,30.79,62.91,11.83
233,Kaspiyskiy,14,RU,1573942153,77,45.39,47.37,45.01,16.02
234,Keti Bandar,26,PK,1573942154,55,24.14,67.45,75.42,15.9
235,Seybaplaya,20,MX,1573942154,61,19.65,-90.67,77.0,18.34
236,Fortuna,1,US,1573941669,82,40.6,-124.16,64.99,5.82
237,Porto San Giorgio,40,IT,1573942154,93,43.18,13.79,57.0,2.24
238,Gewane,36,ET,1573942154,59,10.16,40.66,75.51,7.96
239,Taoudenni,79,ML,1573942154,21,22.68,-3.98,68.59,9.73
240,Wattegama,89,LK,1573942154,97,7.35,80.68,70.68,1.66
241,San Cristobal,100,HN,1573942154,83,14.68,-86.92,72.41,10.49
242,Tiksi,100,RU,1573941645,97,71.64,128.87,-2.69,4.12
243,Zhob,55,PK,1573942155,76,31.34,69.45,52.95,3.44
244,Havelock,90,US,1573942155,81,34.88,-76.9,53.6,27.51
245,San Andres del Rabanedo,90,ES,1573942155,93,42.61,-5.62,39.99,11.41
246,Kaitangata,67,NZ,1573941634,55,-46.28,169.85,60.01,5.01
247,Lasa,0,CY,1573941725,67,34.92,32.53,64.4,4.7
248,Kobe,20,JP,1573942155,93,34.69,135.19,48.99,1.12
249,Souillac,1,FR,1573941645,100,45.6,-0.6,45.0,3.36
250,Chadan,98,RU,1573942156,67,51.29,91.58,-5.8,2.98
251,Sechura,97,PE,1573941706,93,-5.56,-80.82,64.98,20.4
252,Saint-Leu,100,RE,1573941401,73,-21.15,55.28,75.2,5.82
253,Conakry,100,GN,1573942156,78,9.52,-13.7,81.46,6.33
254,Coos Bay,20,US,1573942064,77,43.37,-124.22,62.01,1.45
255,Lazaro Cardenas,90,MX,1573942156,59,28.39,-105.62,66.99,6.76
256,Roald,0,NO,1573942157,69,62.58,6.12,37.4,9.17
257,Silvan,0,TR,1573942157,93,38.14,41.01,42.8,2.24
258,Muriti,100,TZ,1573942157,67,-1.99,32.93,73.58,3.53
259,Salinopolis,10,BR,1573942157,79,-0.61,-47.36,82.06,18.01
260,Maragogi,31,BR,1573942157,76,-9.01,-35.22,80.11,18.5
261,Salvador,20,BR,1573941708,83,-12.98,-38.48,80.6,18.34
262,Prajeni,90,RO,1573942157,100,47.52,27.02,55.4,5.82
263,Lata,0,IN,1573941698,49,30.78,78.62,23.29,8.7
264,Tilichiki,100,RU,1573942158,78,60.47,166.1,7.25,9.86
265,Alice Springs,0,AU,1573942158,14,-23.7,133.88,69.8,1.12
266,Sinnamary,20,GF,1573942158,79,5.38,-52.96,82.56,13.29
267,Huangpi,78,CN,1573942158,88,30.88,114.37,62.6,6.71
268,Kruisfontein,100,ZA,1573941676,96,-34.0,24.73,60.67,7.94
269,Bathsheba,40,BB,1573941723,88,13.22,-59.52,78.8,5.82
270,Ladario,4,PT,1573942158,85,40.7,-7.74,45.0,5.48
271,Mundu,0,ID,1573942158,71,-6.46,108.41,79.52,6.08
272,Garissa,83,KE,1573942159,74,-0.46,39.64,79.95,7.58
